Name;Resolver voltage divider;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\ResolverVotageDivider.csv;
Starttime of export;132907764534190000;Thursday, March 3, 2022;11:20:53.419
Endtime of export;132907764927590000;Thursday, March 3, 2022;11:21:32.759


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907764565990000;0;0;0.0023467384720618242
132907764566090000;0;0;-0.0029062318747603132
132907764566190000;0;0;-0.00041893504905039141
132907764566290000;0;0;-0.0067503565747039848
132907764566390000;0;0;-0.0022442693007730611
132907764566490000;0;0;-0.0076729795536517615
132907764566590000;0;0;-0.0085967054655724465
132907764566690000;0;0;-0.0037676428350482682
132907764566790000;0;0;0.0036499300079453822
132907764566890000;0;0;0.0036150513271009203
132907764566990000;0;0;0.0023331850292283886
132907764567090000;0;0;-0.002601298607436079
132907764567190000;0;0;-0.00064646367952599592
132907764567290000;0;0;-0.0015020927848261876
132907764567390000;0;0;0.00020105856293743852
132907764567490000;0;0;-0.0010907888648772251
132907764567590000;0;0;-0.0010628005141761912
132907764567690000;0;0;-0.0042758608855639965
132907764567790000;0;0;-0.010502824493068434
132907764567890000;0;0;0.0051942329689105022
132907764567990000;0;0;0.0019174271059359464
132907764568090000;0;0;0.00117565305856226
132907764568190000;0;0;0.0068479795082057307
132907764568290000;0;0;0.0081423153989908584
132907764568390000;0;0;0.002998307103779423
132907764568490000;0;0;-0.0050991358976396721
132907764568590000;0;0;-0.00097884154439310464
132907764568690000;0;0;-0.0074257285434923253
132907764568790000;0;0;0.0034435822273537198
132907764568890000;0;0;-0.01285926039391623
132907764568990000;0;0;-0.0094230399345640835
132907764569090000;0;0;-0.011615708077181246
132907764569190000;0;0;-0.012080753363930261
132907764569290000;0;0;-0.0039329525091917244
132907764569390000;0;0;-0.0020372675057782627
132907764569490000;0;0;-0.0067135685130944277
132907764569590000;0;0;-0.0027856987776407934
132907764569690000;0;0;0.00089312501562895455
132907764569790000;0;0;-0.003088428535205765
132907764569890000;0;0;-0.0057574628293181407
132907764569990000;0;0;0.0023329905618152394
132907764570090000;0;0;0.0013489582388553066
132907764570190000;0;0;-0.000360603913129406
132907764570290000;0;0;-0.003157243747304994
132907764570390000;0;0;-0.004679373587852859
132907764570490000;0;0;-0.00097879073500140978
132907764570590000;0;0;0.001716966258839275
132907764570690000;0;0;0.0025634399028856888
132907764570790000;0;0;0.00061545803898984135
132907764570890000;0;0;-0.0077572415684524542
132907764570990000;0;0;-0.0051505910383644639
132907764571090000;0;0;-0.0071635648234667313
132907764571190000;0;0;-0.010300447172673843
132907764571290000;0;0;-0.0059726523845342154
132907764571390000;0;0;-0.010996050109109251
132907764571490000;0;0;-0.0049531726216160326
132907764571590000;0;0;-0.00926692340076277
132907764571690000;0;0;-0.0036359359737520363
132907764571790000;0;0;0.00067813984934858335
132907764571890000;0;0;-0.0046455032133381983
132907764571990000;0;0;-0.0070136257293515157
132907764572090000;0;0;-0.0074498011049008682
132907764572190000;0;0;-0.0035515573217630753
132907764572290000;0;0;-0.0070140978754394592
132907764572390000;0;0;-0.0050024802522567694
132907764572490000;0;0;-0.0069058989647658945
132907764572590000;0;0;0.0075924651207929482
132907764572690000;0;0;0.00748210352069628
132907764572790000;0;0;0.014723221525245724
132907764572890000;0;0;0.011467776015722664
132907764572990000;0;0;0.012272290928405295
132907764573090000;0;0;0.011456582509873102
132907764573190000;0;0;0.0057090455210021592
132907764573290000;0;0;0.0059857818193520132
132907764573390000;0;0;-0.0025776685004234006
132907764573490000;0;0;-0.0029955722202540543
132907764573590000;0;0;0.0004247274381238308
132907764573690000;0;0;0.0042996006207971643
132907764573790000;0;0;0.0073857313610015077
132907764573890000;0;0;0.00457885389024347
132907764573990000;0;0;0.005416567976421845
132907764574090000;0;0;0.0089357941719965476
132907764574190000;0;0;0.00027785385213499955
132907764574290000;0;0;-0.0026095257725700029
132907764574390000;0;0;-0.0005032679459231631
132907764574490000;0;0;-0.0022089194629246918
132907764574590000;0;0;0.0017938813177052182
132907764574690000;0;0;-0.0068889432625323585
132907764574790000;0;0;-0.008991358854754463
132907764574890000;0;0;-0.00938648557473162
132907764574990000;0;0;-0.0092418649474235309
132907764575090000;0;0;-0.00959693305628615
132907764575190000;0;0;-0.0008986637117082241
132907764575290000;0;0;-0.0054369222382501014
132907764575390000;0;0;-0.01109709953681725
132907764575490000;0;0;-0.008426010896501808
132907764575590000;0;0;-0.0082708322322653117
132907764575690000;0;0;-0.009582310565900639
132907764575790000;0;0;-0.0069482005125720923
132907764575890000;0;0;-0.00791854476166809
132907764575990000;0;0;0.00018669779335959719
132907764576090000;0;0;-0.00069964458833208739
132907764576190000;0;0;0.0046843045914019025
132907764576290000;0;0;-0.0071679136588030327
132907764576390000;0;0;-0.0061153995012051786
132907764576490000;0;0;-0.017667329596611193
132907764576590000;0;0;-0.001335152672140183
132907764576690000;0;0;-0.012368384872549451
132907764576790000;0;0;-0.011587727075403658
132907764576890000;0;0;-0.012909286803126656
132907764576990000;0;0;-0.014939913774086835
132907764577090000;0;0;-0.010717714839013435
132907764577190000;0;0;-0.0048820706056014983
132907764577290000;0;0;-0.0044630228400588928
132907764577390000;0;0;0.0027506086168163925
132907764577490000;0;0;0.0046069034604767668
132907764577590000;0;0;0.0042259744996965267
132907764577690000;0;0;0.0021474238768062134
132907764577790000;0;0;0.0026055532667569525
132907764577890000;0;0;-0.0012605721719159489
132907764577990000;0;0;0.0060595830749633241
132907764578090000;0;0;0.0065900587589162183
132907764578190000;0;0;0.0020730357711131191
132907764578290000;0;0;0.002252962139017242
132907764578390000;0;0;-0.00034329294856476453
132907764578490000;0;0;-0.0012858897321937741
132907764578590000;0;0;-0.00046830544003327145
132907764578690000;0;0;-0.0049101506414896239
132907764578790000;0;0;-0.00026964484827512948
132907764578890000;0;0;0.00415062723293572
132907764578990000;0;0;0.0056423750436652379
132907764579090000;0;0;0.0091663977792964049
132907764579190000;0;0;0.0077431037569131141
132907764579290000;0;0;0.014139742024600549
132907764579390000;0;0;0.0075987967944890523
132907764579490000;0;0;0.0055227540684332967
132907764579590000;0;0;-0.0019037564004264372
132907764579690000;0;0;-0.0063393060552577466
132907764579790000;0;0;-0.006749725612621868
132907764579890000;0;0;-0.0042782911204835225
132907764579990000;0;0;0.0072529592769638145
132907764580090000;0;0;0.0042496535675615541
132907764580190000;0;0;0.011135202912645895
132907764580290000;0;0;0.0062556153549049309
132907764580390000;0;0;0.013855172142951806
132907764580490000;0;0;0.0097514272865809552
132907764580590000;0;0;0.017686482276499174
132907764580690000;0;0;0.013775495391409581
132907764580790000;0;0;0.007975547165153047
132907764580890000;0;0;0.00922915652179821
132907764580990000;0;0;-0.0011075794878116461
132907764581090000;0;0;0.0050966357287715574
132907764581190000;0;0;0.013336629448282088
132907764581290000;0;0;0.002019287971495717
132907764581390000;0;0;0.0018779330316092682
132907764581490000;0;0;0.0028982066923417234
132907764581590000;0;0;0.0046981235430010159
132907764581690000;0;0;0.0083349838153248222
132907764581790000;0;0;0.0019015292159400132
132907764581890000;0;0;0.00673872044121013
132907764581990000;0;0;0.0056765767192327463
132907764582090000;0;0;-0.00086997706460871732
132907764582190000;0;0;0.006619855902363035
132907764582290000;0;0;0.0076516096915061407
132907764582390000;0;0;0.00085390695310550747
132907764582490000;0;0;0.0049850060356954017
