Name;Resolver ciclic error 2;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\Resolver Ciclic Error2.csv;
Starttime of export;132900081483250000;Tuesday, February 22, 2022;13:55:48.325
Endtime of export;132900081936650000;Tuesday, February 22, 2022;13:56:33.665


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132900081500650000;0;0;-0.072995378256871218
132900081500750000;0;0;-0.073466906037058466
132900081500850000;0;0;-0.072066355805639554
132900081500950000;0;0;-0.070358101987460508
132900081501050000;0;0;-0.070055457852730846
132900081501150000;0;0;-0.069904891302142572
132900081501250000;0;0;-0.069245565323558925
132900081501350000;0;0;-0.070227644982465448
132900081501450000;0;0;-0.070036822917136712
132900081501550000;0;0;-0.0701042241323643
132900081501650000;0;0;-0.069522848736915874
132900081501750000;0;0;-0.06989592003023519
132900081501850000;0;0;-0.070514489103561492
132900081501950000;0;0;-0.070370330549900231
132900081502050000;0;0;-0.070516838056602443
132900081502150000;0;0;-0.071756441143133134
132900081502250000;0;0;-0.072108303976219076
132900081502350000;0;0;-0.071883489838067346
132900081502450000;0;0;-0.071385885754186557
132900081502550000;0;0;-0.0711369722745074
132900081502650000;0;0;-0.0708918228955
132900081502750000;0;0;-0.07084618447448246
132900081502850000;0;0;-0.0714554610823454
132900081502950000;0;0;-0.071385196138933668
132900081503050000;0;0;-0.071381767523337941
132900081503150000;0;0;-0.07152093457440159
132900081503250000;0;0;-0.071749037140347985
132900081503350000;0;0;-0.071624001911757024
132900081503450000;0;0;-0.071274014668766164
132900081503550000;0;0;-0.071487810032034832
132900081503650000;0;0;-0.071985983580408072
132900081503750000;0;0;-0.071825056494845566
132900081503850000;0;0;-0.071079484309658547
132900081503950000;0;0;-0.071071351626307344
132900081504050000;0;0;-0.0720153787196768
132900081504150000;0;0;-0.071403874391699262
132900081504250000;0;0;-0.071825816380553992
132900081504350000;0;0;-0.071071405504118015
132900081504450000;0;0;-0.070887356559064793
132900081504550000;0;0;-0.070306963748831677
132900081504650000;0;0;-0.0704567763944145
132900081504750000;0;0;-0.070666852393070287
132900081504850000;0;0;-0.071883663949643017
132900081504950000;0;0;-0.07163737357394892
132900081505050000;0;0;-0.071630783825057373
132900081505150000;0;0;-0.072355505324613434
132900081505250000;0;0;-0.07180011480694283
132900081505350000;0;0;-0.07111591190883608
132900081505450000;0;0;-0.070494724905193359
132900081505550000;0;0;-0.070620697187738113
132900081505650000;0;0;-0.070602219745126954
132900081505750000;0;0;-0.07063988788767632
132900081505850000;0;0;-0.069771427537155428
132900081505950000;0;0;-0.070293970446104387
132900081506050000;0;0;-0.070257116952568741
132900081506150000;0;0;-0.071415473844141375
132900081506250000;0;0;-0.071432049945598278
132900081506350000;0;0;-0.071676637272749477
132900081506450000;0;0;-0.071772981945004158
132900081506550000;0;0;-0.0720246844497642
132900081506650000;0;0;-0.071738746072674053
132900081506750000;0;0;-0.071724845086591
132900081506850000;0;0;-0.072143980024201221
132900081506950000;0;0;-0.071739410559068684
132900081507050000;0;0;-0.071148707460490512
132900081507150000;0;0;-0.071661126269605441
132900081507250000;0;0;-0.071517432919713825
132900081507350000;0;0;-0.07085467703876426
132900081507450000;0;0;-0.071013996028698914
132900081507550000;0;0;-0.071028359146805234
132900081507650000;0;0;-0.071678584886795252
132900081507750000;0;0;-0.072304637993989312
132900081507850000;0;0;-0.070885851530942789
132900081507950000;0;0;-0.07089578715452266
132900081508050000;0;0;-0.071668960502750109
132900081508150000;0;0;-0.071674879280496109
132900081508250000;0;0;-0.071745005550435725
132900081508350000;0;0;-0.071654465174444765
132900081508450000;0;0;-0.071426886583512719
132900081508550000;0;0;-0.071363421125783741
132900081508650000;0;0;-0.071386985656217358
132900081508750000;0;0;-0.070247560413718324
132900081508850000;0;0;-0.070699616552549249
132900081508950000;0;0;-0.0716617479433442
132900081509050000;0;0;-0.071636272717550159
132900081509150000;0;0;-0.071747072720040772
132900081509250000;0;0;-0.071195750432013316
132900081509350000;0;0;-0.0715779434716902
132900081509450000;0;0;-0.071871067433301433
132900081509550000;0;0;-0.071475157906230713
132900081509650000;0;0;-0.071738547123136431
132900081509750000;0;0;-0.072778322957587474
132900081509850000;0;0;-0.072686943947619209
132900081509950000;0;0;-0.070752194686778125
132900081510050000;0;0;-0.071729260082678117
132900081510150000;0;0;-0.070659979107031312
132900081510250000;0;0;-0.07113487652586381
132900081510350000;0;0;-0.072275437591460656
132900081510450000;0;0;-0.072684862579124793
132900081510550000;0;0;-0.072174881139913133
132900081510650000;0;0;-0.072832924924312564
132900081510750000;0;0;-0.071822250177155461
132900081510850000;0;0;-0.071682440324282545
132900081510950000;0;0;-0.071084813748191089
132900081511050000;0;0;-0.0715000192138553
132900081511150000;0;0;-0.071654982475246
132900081511250000;0;0;-0.072134273453177855
132900081511350000;0;0;-0.07183777707948058
132900081511450000;0;0;-0.071737997985913793
132900081511550000;0;0;-0.071108304886237789
132900081511650000;0;0;-0.071972749046522247
132900081511750000;0;0;-0.072174329867562184
132900081511850000;0;0;-0.07138526365834888
132900081511950000;0;0;-0.070942979169677664
132900081512050000;0;0;-0.070385609714426034
132900081512150000;0;0;-0.070581091310685781
132900081512250000;0;0;-0.0703620846107911
132900081512350000;0;0;-0.070625450704134451
132900081512450000;0;0;-0.071384970087911212
132900081512550000;0;0;-0.071264507864179691
132900081512650000;0;0;-0.071216627862933923
132900081512750000;0;0;-0.071101852061106863
132900081512850000;0;0;-0.071322334479665531
132900081512950000;0;0;-0.07146621599870065
132900081513050000;0;0;-0.072721038062718651
132900081513150000;0;0;-0.071717821844996379
132900081513250000;0;0;-0.072567227486234329
132900081513350000;0;0;-0.071030438970948712
132900081513450000;0;0;-0.071441107084621633
132900081513550000;0;0;-0.0708846219487544
132900081513650000;0;0;-0.0705063011438998
132900081513750000;0;0;-0.0709917240450887
132900081513850000;0;0;-0.070707806372801385
132900081513950000;0;0;-0.07131265200234059
132900081514050000;0;0;-0.071740317240126569
132900081514150000;0;0;-0.072564267023798854
132900081514250000;0;0;-0.072614494759288439
132900081514350000;0;0;-0.072884334217569471
132900081514450000;0;0;-0.0730794330677436
132900081514550000;0;0;-0.071691278575782932
132900081514650000;0;0;-0.071811463164534642
132900081514750000;0;0;-0.071815169156904737
132900081514850000;0;0;-0.072265046319454823
132900081514950000;0;0;-0.0723582342973337
132900081515050000;0;0;-0.072800117096229092
132900081515150000;0;0;-0.072176035718052714
132900081515250000;0;0;-0.072284578246143746
132900081515350000;0;0;-0.071984307894270932
132900081515450000;0;0;-0.0713536747233583
132900081515550000;0;0;-0.071161448247959141
132900081515650000;0;0;-0.0711731633433576
132900081515750000;0;0;-0.071080552029884017
132900081515850000;0;0;-0.070179877625162382
132900081515950000;0;0;-0.070009343459579834
132900081516050000;0;0;-0.070154947102290421
132900081516150000;0;0;-0.069432048078297587
132900081516250000;0;0;-0.069891813765605562
132900081516350000;0;0;-0.069313139115668956
132900081516450000;0;0;-0.0697318871136987
132900081516550000;0;0;-0.069609487534626091
132900081516650000;0;0;-0.0705194523583232
132900081516750000;0;0;-0.0702867684338473
132900081516850000;0;0;-0.0711895611266388
132900081516950000;0;0;-0.071144512965911746
132900081517050000;0;0;-0.0713651372347647
132900081517150000;0;0;-0.071254946246143813
132900081517250000;0;0;-0.071797626338455572
132900081517350000;0;0;-0.071691961671322177
132900081517450000;0;0;-0.072475706998646278
132900081517550000;0;0;-0.072266221301837838
132900081517650000;0;0;-0.072088633356508364
132900081517750000;0;0;-0.070755564465285428
132900081517850000;0;0;-0.07157794641841296
132900081517950000;0;0;-0.071278267413031185
132900081518050000;0;0;-0.072291377431784334
132900081518150000;0;0;-0.071804461448927409
132900081518250000;0;0;-0.072353227065245454
132900081518350000;0;0;-0.072431781807330037
132900081518450000;0;0;-0.0720696319565499
132900081518550000;0;0;-0.071531723540275871
132900081518650000;0;0;-0.0708477369263451
132900081518750000;0;0;-0.070867274798041682
132900081518850000;0;0;-0.070691490275468935
132900081518950000;0;0;-0.07073052219428029
132900081519050000;0;0;-0.07161796957147476
132900081519150000;0;0;-0.072187456174313
132900081519250000;0;0;-0.072202249280444067
132900081519350000;0;0;-0.072267750299097475
132900081519450000;0;0;-0.071313766234490636
132900081519550000;0;0;-0.071337344582962925
132900081519650000;0;0;-0.072017124612893085
132900081519750000;0;0;-0.071783039190731687
132900081519850000;0;0;-0.071452907140014552
132900081519950000;0;0;-0.07126809268513698
132900081520050000;0;0;-0.0711449674477695
132900081520150000;0;0;-0.070759160169937829
132900081520250000;0;0;-0.069788597342987077
132900081520350000;0;0;-0.070315677574905339
132900081520450000;0;0;-0.071015997066845277
132900081520550000;0;0;-0.070753929472556973
132900081520650000;0;0;-0.070514730016400809
132900081520750000;0;0;-0.0711367223660345
132900081520850000;0;0;-0.071291644066651283
132900081520950000;0;0;-0.072001894047210011
132900081521050000;0;0;-0.071591306724299517
132900081521150000;0;0;-0.0724746676332459
132900081521250000;0;0;-0.07155122859356379
132900081521350000;0;0;-0.071608966060074553
132900081521450000;0;0;-0.070222059650043731
132900081521550000;0;0;-0.070365379150133522
132900081521650000;0;0;-0.070045074728887519
132900081521750000;0;0;-0.070654599956490149
132900081521850000;0;0;-0.0698646326576784
132900081521950000;0;0;-0.069629739876946622
132900081522050000;0;0;-0.0700271859564204
132900081522150000;0;0;-0.069638496860760679
132900081522250000;0;0;-0.070259425477466456
132900081522350000;0;0;-0.071334327148634052
132900081522450000;0;0;-0.072658192144324243
132900081522550000;0;0;-0.071885234809814236
132900081522650000;0;0;-0.071292985887767613
132900081522750000;0;0;-0.071200660574807534
132900081522850000;0;0;-0.071019611416268724
132900081522950000;0;0;-0.070597056555223511
132900081523050000;0;0;-0.06978281483363788
132900081523150000;0;0;-0.070371774178963023
132900081523250000;0;0;-0.071304333041030163
132900081523350000;0;0;-0.070940353796009
132900081523450000;0;0;-0.071229750383204157
132900081523550000;0;0;-0.071375924148470049
132900081523650000;0;0;-0.0715672568797112
132900081523750000;0;0;-0.071962806138363644
132900081523850000;0;0;-0.071215329512032008
132900081523950000;0;0;-0.070961158165163
132900081524050000;0;0;-0.070421131661653216
132900081524150000;0;0;-0.071623606503955051
132900081524250000;0;0;-0.071806278935254764
132900081524350000;0;0;-0.071106580501506852
132900081524450000;0;0;-0.070691572595779434
132900081524550000;0;0;-0.0703178394788268
132900081524650000;0;0;-0.070231289020230944
132900081524750000;0;0;-0.070618304586875846
132900081524850000;0;0;-0.070141073498897658
132900081524950000;0;0;-0.070980148054778078
132900081525050000;0;0;-0.071444570073203484
132900081525150000;0;0;-0.071783691792800836
132900081525250000;0;0;-0.071918975599643789
132900081525350000;0;0;-0.071871073910465488
132900081525450000;0;0;-0.07255851250058383
132900081525550000;0;0;-0.073224310204985224
132900081525650000;0;0;-0.0731834587312312
132900081525750000;0;0;-0.073563542439739338
132900081525850000;0;0;-0.073255707436519837
132900081525950000;0;0;-0.072401036001354141
132900081526050000;0;0;-0.071750321171778875
132900081526150000;0;0;-0.071598735056165319
132900081526250000;0;0;-0.072094511050682444
132900081526350000;0;0;-0.072247146022961659
132900081526450000;0;0;-0.071940803152844984
132900081526550000;0;0;-0.071469524052711481
132900081526650000;0;0;-0.0718700628550349
132900081526750000;0;0;-0.071468486767928455
132900081526850000;0;0;-0.071896734258177011
132900081526950000;0;0;-0.070975341549471063
132900081527050000;0;0;-0.07101653330420446
132900081527150000;0;0;-0.070725694896784944
132900081527250000;0;0;-0.070741223562787933
132900081527350000;0;0;-0.071352696388776407
132900081527450000;0;0;-0.0716847751904965
132900081527550000;0;0;-0.070872259726411979
132900081527650000;0;0;-0.0723632064208272
132900081527750000;0;0;-0.072140263428138979
132900081527850000;0;0;-0.071182248059256048
132900081527950000;0;0;-0.071048730863379622
132900081528050000;0;0;-0.0717217815029628
132900081528150000;0;0;-0.072073204885154785
132900081528250000;0;0;-0.071693751036293468
132900081528350000;0;0;-0.070392059746268665
132900081528450000;0;0;-0.07037243621322449
132900081528550000;0;0;-0.070547358489573234
132900081528650000;0;0;-0.070038263050346689
132900081528750000;0;0;-0.070979875300297715
132900081528850000;0;0;-0.070497673659813284
132900081528950000;0;0;-0.070493987629463753
132900081529050000;0;0;-0.070329446816491337
132900081529150000;0;0;-0.071253801162450642
132900081529250000;0;0;-0.072152053572855632
132900081529350000;0;0;-0.071355316152983322
132900081529450000;0;0;-0.0715927681610343
