Name;Resolver voltage divider at sine and cosine coild;
File;C:\Users\alexandregoncalves\Documents\MCAG\TwinCAT\ResolverTestResults\CSVFiles\VoltageDividerSineCosCoils.csv;
Starttime of export;132907960342450000;Thursday, March 3, 2022;16:47:14.245
Endtime of export;132907960642850000;Thursday, March 3, 2022;16:47:44.285


TriggerGroup;Count;ReleaseTime;Comment;

Name;fActPosition (Internal Counter);fActVelocity;fActPosition (Resolver)
SymbolComment;Actual position value;Actual velocity;Actual position value
Data-Type;REAL64;REAL64;REAL64
SampleTime;10;10;10
VariableSize;8;8;8
SymbolBased;True;True;True
IndexGroup;61462;61462;16448
IndexOffset;0;0;1740840
SymbolName;MAIN.afbAxes[3].stAxisStruct.stStatus.fActPosition;MAIN.afbAxes[3].stAxisStruct.stStatus.fActVelocity;GVL.astAxes[9].stStatus.fActPosition
NetID;5.79.68.212.1.1;5.79.68.212.1.1;5.79.68.212.1.1
Port;852;852;852
Offset;0;0;0
ScaleFactor;1;1;1
BitMask;0xffffffffffffffff;0xffffffffffffffff;0xffffffffffffffff
Unit;(None);(None);(None)
Unit ScaleFactor;1;1;1
Unit Offset;0;0;0


132907960376750000;1.6243727037204856;22.654223183912155;0.868397283422262
132907960376850000;1.8818814861291406;24.582482170483864;1.0617833023721426
132907960376950000;2.1563354520740252;26.3643508950385;1.26959693782543
132907960377050000;2.44620341155514;27.995804748476484;1.4887956783101015
132907960377150000;2.7499541745724847;29.475226330664555;1.7223837464376985
132907960377250000;3.0660565511260587;30.801965644764095;1.9721468590740812
132907960377350000;3.3929793512158626;31.975761471623859;2.2457304387193333
132907960377450000;3.7291913848418954;32.996508833125532;2.5330220399753509
132907960377550000;4.0731614620041583;33.864165540917874;2.8272645661993439
132907960377650000;4.4233583927026512;34.57871464044868;3.1305169437028626
132907960377750000;4.7782509869373735;35.140149318063649;3.4420636955708881
132907960377850000;5.1363080547083264;35.548466835508059;3.7675831233094912
132907960377950000;5.4959984060155076;35.803666092338489;4.1050002466411133
132907960378050000;5.855998330369621;35.921094765845972;4.4414602313263742
132907960378150000;6.2159983303696213;35.968289756078818;4.7779106823981721
132907960378250000;6.5759983303696217;35.987256364164914;5.117343241047041
132907960378350000;6.9359983303696229;35.994878618572017;5.45718400123606
132907960378450000;7.2959983303696232;35.997941831666388;5.8000366740439384
132907960378550000;7.6559983303696235;35.999172868307319;6.1423504519945107
132907960378650000;8.0159983303696229;35.999667594323569;6.4837613235774825
132907960378750000;8.3759983303696242;35.999866413613894;6.8240305845844951
132907960378850000;8.7359983303696254;35.999946314627593;7.16750914627181
132907960378950000;9.0959983303696248;35.999978425052866;7.5143409834765338
132907960379050000;9.4559983303696242;35.999991329512575;7.8614867068328618
132907960379150000;9.8159983303696254;35.999996515525623;8.2012940939044974
132907960379250000;10.175998330369627;35.999998599668;8.5389917230771282
132907960379350000;10.535998330369626;35.999999437237953;8.8758803421476138
132907960379450000;10.895998330369626;35.9999997738385;9.2197871668040712
132907960379550000;11.255998330369629;35.999999909110954;9.5585182516963876
132907960379650000;11.615998330369628;35.999999963473719;9.8957778995087438
132907960379750000;11.975998330369627;35.999999985320862;10.231887577500629
132907960379850000;12.335998330369629;35.999999994100847;10.570850272792598
132907960379950000;12.695998330369626;35.999999997629111;10.915512202339
132907960380050000;13.055998330369627;35.999999999047255;11.262336050163148
132907960380150000;13.415998330369629;35.999999999617216;11.600532667849901
132907960380250000;13.775998330369628;35.999999999846167;11.941328255724663
132907960380350000;14.135998330369628;35.999999999938147;12.27892304800843
132907960380450000;14.495998330369627;35.999999999975067;12.626500215522622
132907960380550000;14.85599833036963;35.999999999990123;12.966486272373972
132907960380650000;15.215998330369629;35.999999999995993;13.304422577642029
132907960380750000;15.575998330369629;35.999999999998316;13.646865463215127
132907960380850000;15.935998330369632;35.999999999999517;13.987037552217526
132907960380950000;16.295998330369631;35.999999999999808;14.333823850573301
132907960381050000;16.655998330369631;35.999999999999886;14.680657175662736
132907960381150000;17.01599833036963;35.999999999999879;15.020161462898111
132907960381250000;17.375998330369633;36.000000000000142;15.357944605343084
132907960381350000;17.735998330369632;36.000000000000064;15.698969329391789
132907960381450000;18.095998330369632;35.999999999999993;16.038468911993547
132907960381550000;18.455998330369631;35.999999999999929;16.377590096934924
132907960381650000;18.815998330369634;36.000000000000171;16.715566021970957
132907960381750000;19.175998330369634;36.000000000000036;17.054881763009391
132907960381850000;19.535998330369633;35.999999999999943;17.3926355986835
132907960381950000;19.895998330369636;36.000000000000171;17.738976183235422
132907960382050000;20.255998330369636;36.000000000000071;18.086560483796049
132907960382150000;20.615998330369635;35.999999999999993;18.428431051019967
132907960382250000;20.975998330369634;35.999999999999929;18.766016628458519
132907960382350000;21.335998330369637;36.000000000000171;19.110414011645116
132907960382450000;21.695998330369637;36.000000000000036;19.450395633463629
132907960382550000;22.055998330369636;35.999999999999943;19.795249988869053
132907960382650000;22.415998330369639;36.000000000000171;20.133540739361276
132907960382750000;22.775998330369639;36.000000000000071;20.477568624814026
132907960382850000;23.135998330369638;35.999999999999993;20.819008153012483
132907960382950000;23.495998330369638;35.999999999999929;21.168601339298242
132907960383050000;23.855998330369641;36.000000000000121;21.516677599684556
132907960383150000;24.21599833036964;36.000000000000014;21.857926150645049
132907960383250000;24.575998330369639;35.999999999999929;22.200698751635237
132907960383350000;24.935998330369642;36.000000000000171;22.543200468444226
132907960383450000;25.295998330369642;36.000000000000071;22.890050045008177
132907960383550000;25.655998330369641;35.999999999999993;23.233627042511621
132907960383650000;26.015998330369641;35.999999999999929;23.579731878275648
132907960383750000;26.375998330369644;36.000000000000171;23.927118051705566
132907960383850000;26.735998330369643;36.000000000000071;24.274019875481713
132907960383950000;27.095998330369643;35.999999999999993;24.626497434667804
132907960384050000;27.455998330369642;35.999999999999929;24.981466351879032
132907960384150000;27.815998330369645;36.000000000000171;25.329114318984104
132907960384250000;28.175998330369644;36.000000000000036;25.675359652870686
132907960384350000;28.535998330369644;35.999999999999943;26.025456768533971
132907960384450000;28.895998330369647;36.000000000000171;26.374112976330494
132907960384550000;29.255998330369646;36.000000000000071;26.724088055709935
132907960384650000;29.615998330369646;35.999999999999993;27.069157887162124
